stateTime,Commit Deal,Snap Deal,Total
"2022-06-29","736.32","71.95","808.27"
"2022-06-30","855.59","34.25","889.84"
"2022-07-01","735.03","35.22","770.25"
"2022-07-02","786.93","23.88","810.81"
"2022-07-03","398.46","21.63","420.09"
"2022-07-04","384.54","42.21","426.75"
"2022-07-05","310.33","68.69","379.02"
"2022-07-06","268.72","44.41","313.13"
"2022-07-07","329.95","32.26","362.21"
"2022-07-08","324.99","41.16","366.15"
"2022-07-09","343.40","32.58","375.98"
"2022-07-10","302.92","55.21","358.13"
"2022-07-11","375.94","35.13","411.07"
"2022-07-12","491.35","36.24","527.59"
"2022-07-13","688.44","33.91","722.35"
"2022-07-14","621.16","46.10","667.26"
"2022-07-15","470.08","54.22","524.30"
"2022-07-16","541.17","56.71","597.88"
"2022-07-17","453.22","34.16","487.38"
"2022-07-18","561.39","47.54","608.93"
"2022-07-19","563.43","28.53","591.96"
"2022-07-20","662.45","24.43","686.88"
"2022-07-21","679.21","39.32","718.53"
"2022-07-22","555.18","37.75","592.93"
"2022-07-23","682.82","32.16","714.98"
"2022-07-24","655.18","30.91","686.09"
"2022-07-25","674.76","37.50","712.26"
"2022-07-26","665.84","24.48","690.32"
"2022-07-27","719.70","23.75","743.45"
"2022-07-28","771.71","31.76","803.47"
"2022-07-29","824.52","26.90","851.42"
"2022-07-30","832.96","39.34","872.30"
"2022-07-31","882.83","19.64","902.47"
"2022-08-01","972.71","23.90","996.61"
"2022-08-02","1122.24","15.25","1137.49"
"2022-08-03","965.09","26.56","991.65"
"2022-08-04","1337.78","29.98","1367.76"
"2022-08-05","1317.71","33.47","1351.18"
"2022-08-06","1128.02","19.76","1147.78"
"2022-08-07","893.47","22.47","915.94"
"2022-08-08","737.18","40.44","777.62"
"2022-08-09","844.53","36.64","881.17"
"2022-08-10","714.48","43.42","757.90"
"2022-08-11","673.05","21.78","694.83"
"2022-08-12","531.29","24.65","555.94"
"2022-08-13","1160.59","29.90","1190.49"
"2022-08-14","1007.10","23.86","1030.96"
"2022-08-15","1155.61","45.37","1200.98"
"2022-08-16","1268.55","20.84","1289.39"
"2022-08-17","1332.51","19.34","1351.85"
"2022-08-18","1523.44","35.09","1558.53"
"2022-08-19","1698.22","45.54","1743.76"
"2022-08-20","1374.55","27.73","1402.28"
"2022-08-21","1147.03","27.50","1174.53"
"2022-08-22","1018.02","47.19","1065.21"
"2022-08-23","1040.02","25.04","1065.06"
"2022-08-24","1186.82","31.26","1218.08"
"2022-08-25","1266.68","34.73","1301.41"
"2022-08-26","1345.80","27.25","1373.05"
"2022-08-27","1244.26","17.06","1261.32"
"2022-08-28","1079.61","11.59","1091.20"
"2022-08-29","1082.99","12.82","1095.81"
"2022-08-30","1129.70","23.75","1153.45"
"2022-08-31","1146.78","25.97","1172.75"
"2022-09-01","1194.23","21.28","1215.51"
"2022-09-02","1277.41","23.09","1300.50"
"2022-09-03","1210.37","22.22","1232.59"
"2022-09-04","1125.71","24.63","1150.34"
"2022-09-05","1147.28","25.53","1172.81"
"2022-09-06","1654.37","32.57","1686.94"
"2022-09-07","1506.93","31.24","1538.17"
"2022-09-08","1386.48","43.11","1429.59"
"2022-09-09","1403.65","55.42","1459.07"
"2022-09-10","1530.75","38.37","1569.12"
"2022-09-11","1507.63","35.05","1542.68"
"2022-09-12","1511.99","47.40","1559.39"
"2022-09-13","1707.96","52.08","1760.04"
