stateTime,32 GiB,64 GiB,Total
"2022-06-29","20.95","6.51","27.46"
"2022-06-30","20.33","7.09","27.42"
"2022-07-01","19.51","5.56","25.07"
"2022-07-02","18.09","5.40","23.49"
"2022-07-03","16.93","4.38","21.31"
"2022-07-04","16.22","4.42","20.64"
"2022-07-05","12.98","2.73","15.71"
"2022-07-06","9.76","2.53","12.29"
"2022-07-07","6.04","2.13","8.17"
"2022-07-08","8.23","2.25","10.48"
"2022-07-09","9.06","2.36","11.42"
"2022-07-10","10.22","2.56","12.78"
"2022-07-11","9.92","2.98","12.90"
"2022-07-12","11.11","4.53","15.64"
"2022-07-13","10.88","4.71","15.59"
"2022-07-14","10.87","4.71","15.58"
"2022-07-15","10.93","4.60","15.53"
"2022-07-16","11.49","4.57","16.06"
"2022-07-17","10.47","4.44","14.91"
"2022-07-18","11.18","4.58","15.76"
"2022-07-19","11.44","4.21","15.65"
"2022-07-20","11.68","3.25","14.93"
"2022-07-21","12.33","2.87","15.20"
"2022-07-22","12.46","3.35","15.81"
"2022-07-23","12.53","3.31","15.84"
"2022-07-24","11.55","2.83","14.38"
"2022-07-25","10.84","2.88","13.72"
"2022-07-26","10.88","2.30","13.18"
"2022-07-27","10.19","2.86","13.05"
"2022-07-28","11.19","2.87","14.06"
"2022-07-29","11.60","2.98","14.58"
"2022-07-30","10.75","3.24","13.99"
"2022-07-31","9.48","3.59","13.07"
"2022-08-01","9.36","3.71","13.07"
"2022-08-02","9.55","4.31","13.86"
"2022-08-03","9.17","4.23","13.40"
"2022-08-04","8.64","3.71","12.35"
"2022-08-05","9.23","4.18","13.41"
"2022-08-06","10.02","5.00","15.02"
"2022-08-07","9.19","4.58","13.77"
"2022-08-08","9.31","3.93","13.24"
"2022-08-09","9.73","4.45","14.18"
"2022-08-10","9.17","4.82","13.99"
"2022-08-11","8.63","4.88","13.51"
"2022-08-12","8.20","4.88","13.08"
"2022-08-13","8.72","4.37","13.09"
"2022-08-14","8.03","3.85","11.88"
"2022-08-15","7.91","4.05","11.96"
"2022-08-16","8.35","3.75","12.10"
"2022-08-17","8.68","3.85","12.53"
"2022-08-18","8.17","4.20","12.37"
"2022-08-19","8.05","3.98","12.03"
"2022-08-20","8.62","4.27","12.89"
"2022-08-21","8.05","4.01","12.06"
"2022-08-22","7.85","4.40","12.25"
"2022-08-23","8.13","4.18","12.31"
"2022-08-24","8.29","3.92","12.21"
"2022-08-25","9.37","3.46","12.83"
"2022-08-26","9.90","3.81","13.71"
"2022-08-27","9.11","4.25","13.36"
"2022-08-28","8.44","4.39","12.83"
"2022-08-29","7.74","6.06","13.80"
"2022-08-30","8.18","5.31","13.49"
"2022-08-31","8.45","5.58","14.03"
"2022-09-01","8.79","5.31","14.10"
"2022-09-02","8.28","5.46","13.74"
